p1,p2,p3,n1,n2,n3
0.052721,0.04322,0.056859,0.050483,0.052282,0.054857
0.04322,0.056859,0.050483,0.052282,0.054857,0.063511
0.056859,0.050483,0.052282,0.054857,0.063511,0.066436
0.050483,0.052282,0.054857,0.063511,0.066436,0.050711
0.052282,0.054857,0.063511,0.066436,0.050711,0.059351
0.054857,0.063511,0.066436,0.050711,0.059351,0.070848
0.063511,0.066436,0.050711,0.059351,0.070848,0.05298
0.066436,0.050711,0.059351,0.070848,0.05298,0.050181
0.050711,0.059351,0.070848,0.05298,0.050181,0.04353
0.059351,0.070848,0.05298,0.050181,0.04353,0.055273
0.070848,0.05298,0.050181,0.04353,0.055273,0.062344
0.05298,0.050181,0.04353,0.055273,0.062344,0.082205
0.050181,0.04353,0.055273,0.062344,0.082205,0.056504
0.04353,0.055273,0.062344,0.082205,0.056504,0.059269
0.055273,0.062344,0.082205,0.056504,0.059269,0.05809
0.062344,0.082205,0.056504,0.059269,0.05809,0.047969
0.082205,0.056504,0.059269,0.05809,0.047969,0.039749
0.056504,0.059269,0.05809,0.047969,0.039749,0.038731
0.059269,0.05809,0.047969,0.039749,0.038731,0.044597
0.05809,0.047969,0.039749,0.038731,0.044597,0.042818
0.047969,0.039749,0.038731,0.044597,0.042818,0.05269
0.039749,0.038731,0.044597,0.042818,0.05269,0.052039
0.038731,0.044597,0.042818,0.05269,0.052039,0.044965
0.044597,0.042818,0.05269,0.052039,0.044965,0.062154
0.042818,0.05269,0.052039,0.044965,0.062154,0.044309
0.05269,0.052039,0.044965,0.062154,0.044309,0.045113
0.052039,0.044965,0.062154,0.044309,0.045113,0.04059
0.044965,0.062154,0.044309,0.045113,0.04059,0.047521
0.062154,0.044309,0.045113,0.04059,0.047521,0.047039
0.044309,0.045113,0.04059,0.047521,0.047039,0.04911
0.045113,0.04059,0.047521,0.047039,0.04911,0.051507
0.04059,0.047521,0.047039,0.04911,0.051507,0.032574
0.047521,0.047039,0.04911,0.051507,0.032574,0.048244
